Date,Adj Close,Close,High,Low,Open,Volume
1999-03-10,54.93217849731445,97.9375,97.9375,96.8125,97.125,180300
1999-03-11,55.703407287597656,99.3125,99.71875,98.03125,98.609375,758500
1999-03-12,55.32648849487305,98.640625,99.859375,98.640625,99.84375,411300
1999-03-15,55.940025329589844,99.734375,99.75,98.75,98.90625,204000
1999-03-16,55.773433685302734,99.4375,100.109375,99.265625,99.921875,644400
1999-03-17,55.4842643737793,98.921875,99.75,98.6875,99.46875,608100
1999-03-18,56.26427459716797,100.3125,100.46875,98.625,98.765625,399800
1999-03-19,55.36552810668945,98.5625,100.75,98.5625,100.5,501000
1999-03-22,55.68151092529297,99.125,99.4375,98.5625,98.6875,118500
1999-03-23,54.27713394165039,96.625,99.4375,96.28125,98.421875,824500
1999-03-24,54.40003967285156,96.84375,97.09375,96.171875,96.828125,253600
1999-03-25,55.40064239501953,98.625,98.734375,97.390625,97.828125,385500
1999-03-26,55.20753860473633,98.28125,98.5,97.5,97.953125,258900
1999-03-29,56.10272979736328,99.875,100.5,99.0,99.203125,441200
1999-03-30,55.769248962402344,99.28125,99.859375,98.671875,98.921875,552000
1999-03-31,54.90904998779297,97.75,99.96875,97.65625,99.75,452900
1999-04-01,55.1987419128418,98.265625,98.625,97.546875,98.5,267500
1999-04-05,56.24317932128906,100.125,100.34375,98.8125,99.34375,457400
1999-04-06,55.96231460571289,99.625,100.3125,99.1875,99.546875,231600
1999-04-07,56.734737396240234,101.0,101.09375,99.375,100.375,313900
1999-04-08,57.33155059814453,102.0625,102.140625,100.46875,101.015625,362600
1999-04-09,57.22622299194336,101.875,102.59375,101.0,101.59375,402300
1999-04-12,58.147857666015625,103.515625,103.625,100.625,100.625,900800
1999-04-13,58.49009704589844,104.125,104.28125,103.0,103.375,1310900
1999-04-14,58.61301040649414,104.34375,105.21875,103.578125,104.78125,1553700
1999-04-15,58.893836975097656,104.84375,105.15625,103.5,104.3125,1917400
1999-04-16,58.72845458984375,104.53125,105.21875,103.78125,105.0,2050400
1999-04-19,58.640586853027344,104.375,107.484375,103.5,104.9375,5045900
1999-04-20,58.69329071044922,104.46875,104.96875,103.125,104.25,4491000
1999-04-21,59.83451461791992,106.5,106.53125,104.15625,104.515625,2419100
1999-04-22,60.3787841796875,107.46875,107.59375,106.125,106.96875,1891000
1999-04-23,60.168113708496094,107.09375,107.625,106.3125,107.0,942000
1999-04-26,60.25583267211914,107.25,107.34375,106.40625,107.34375,629400
1999-04-27,60.887943267822266,108.375,108.625,107.515625,108.0,2460600
1999-04-28,60.8265495300293,108.265625,109.4375,107.96875,108.25,2919100
1999-04-29,61.116153717041016,108.78125,109.3125,108.125,108.8125,1922000
1999-04-30,60.4665641784668,107.625,109.5625,106.5,109.28125,3761500
1999-05-03,61.923805236816406,110.21875,110.21875,107.53125,107.9375,1834900
1999-05-04,61.379539489746094,109.25,110.40625,108.71875,109.8125,2046600
1999-05-05,61.449703216552734,109.375,109.734375,107.75,109.34375,2827000
1999-05-06,61.520015716552734,109.5,109.84375,108.375,109.21875,2659100
1999-05-07,62.04668426513672,110.4375,110.4375,109.25,110.0625,1749800
1999-05-10,61.800941467285156,110.0,111.09375,109.625,110.28125,1598000
1999-05-11,61.923805236816406,110.21875,111.0,109.6875,110.625,1519200
1999-05-12,61.888675689697266,110.15625,110.6875,107.0,110.0,3325500
1999-05-13,62.50322723388672,111.25,111.5,110.5,110.96875,1390300
1999-05-14,61.30927658081055,109.125,110.109375,108.75,109.6875,2026200
1999-05-17,61.098655700683594,108.75,108.9375,107.6875,108.90625,1204800
