ts,ny,cet,ny_min,desde_apertura,dow,nas,dur_min,c9
2022-12-15 18:00:00.170000+00:00,2022-12-15 13:00:00.170000-05:00,2022-12-15 19:00:00.170000+01:00,780,210,3,-1.0,1086.0166833333333,-NASDAQ 100 (Mini)
2022-12-19 15:00:00.274000+00:00,2022-12-19 10:00:00.274000-05:00,2022-12-19 16:00:00.274000+01:00,600,30,0,-1.0,58.99735,-NASDAQ 100 (Mini)
2022-12-22 16:00:00.164000+00:00,2022-12-22 11:00:00.164000-05:00,2022-12-22 17:00:00.164000+01:00,660,90,3,-1.0,233.19626666666667,-NASDAQ 100 (Mini)
2022-12-23 14:30:00.148000+00:00,2022-12-23 09:30:00.148000-05:00,2022-12-23 15:30:00.148000+01:00,570,0,4,-1.0,11.832916666666668,-NASDAQ 100 (Mini)
2022-12-27 16:00:00.096000+00:00,2022-12-27 11:00:00.096000-05:00,2022-12-27 17:00:00.096000+01:00,660,90,1,-1.0,1439.001,-NASDAQ 100 (Mini)
2023-01-05 20:30:00.115000+00:00,2023-01-05 15:30:00.115000-05:00,2023-01-05 21:30:00.115000+01:00,930,360,3,-1.0,1020.0329333333334,-NASDAQ 100 (Mini)
2023-01-09 16:00:00.103000+00:00,2023-01-09 11:00:00.103000-05:00,2023-01-09 17:00:00.103000+01:00,660,90,0,1.0,166.85971666666669,+NASDAQ 100 (Mini)
2023-01-11 14:00:00.091000+00:00,2023-01-11 09:00:00.091000-05:00,2023-01-11 15:00:00.091000+01:00,540,-30,2,1.0,119.00028333333333,+NASDAQ 100 (Mini)
2023-01-12 14:00:00.089000+00:00,2023-01-12 09:00:00.089000-05:00,2023-01-12 15:00:00.089000+01:00,540,-30,3,1.0,15.0104,+NASDAQ 100 (Mini)
2023-01-17 18:30:00.170000+00:00,2023-01-17 13:30:00.170000-05:00,2023-01-17 19:30:00.170000+01:00,810,240,1,1.0,46.071266666666666,+NASDAQ 100 (Mini)
2023-01-23 16:00:00.197000+00:00,2023-01-23 11:00:00.197000-05:00,2023-01-23 17:00:00.197000+01:00,660,90,0,1.0,218.04025000000001,+NASDAQ 100 (Mini)
2023-01-26 14:00:00.118000+00:00,2023-01-26 09:00:00.118000-05:00,2023-01-26 15:00:00.118000+01:00,540,-30,3,1.0,43.14635,+NASDAQ 100 (Mini)
2023-02-01 20:00:00.293000+00:00,2023-02-01 15:00:00.293000-05:00,2023-02-01 21:00:00.293000+01:00,900,330,2,1.0,16.89538333333333,+NASDAQ 100 (Mini)
2023-02-08 00:00:00.295000+00:00,2023-02-07 19:00:00.295000-05:00,2023-02-08 01:00:00.295000+01:00,1140,570,1,1.0,873.3142333333333,+NASDAQ 100 (Mini)
2023-02-10 16:00:00.126000+00:00,2023-02-10 11:00:00.126000-05:00,2023-02-10 17:00:00.126000+01:00,660,90,4,-1.0,116.08953333333334,-NASDAQ 100 (Mini)
2023-02-15 20:00:00.108000+00:00,2023-02-15 15:00:00.108000-05:00,2023-02-15 21:00:00.108000+01:00,900,330,2,1.0,969.3891666666666,+NASDAQ 100 (Mini)
2023-02-21 14:00:00.484000+00:00,2023-02-21 09:00:00.484000-05:00,2023-02-21 15:00:00.484000+01:00,540,-30,1,-1.0,118.99403333333333,-NASDAQ 100 (Mini)
2023-02-24 14:00:00.236000+00:00,2023-02-24 09:00:00.236000-05:00,2023-02-24 15:00:00.236000+01:00,540,-30,4,-1.0,146.96151666666668,-NASDAQ 100 (Mini)
2023-03-01 18:30:00.171000+00:00,2023-03-01 13:30:00.171000-05:00,2023-03-01 19:30:00.171000+01:00,810,240,2,-1.0,991.8129,-NASDAQ 100 (Mini)
2023-03-06 06:00:00.379000+00:00,2023-03-06 01:00:00.379000-05:00,2023-03-06 07:00:00.379000+01:00,60,-510,0,1.0,611.0816,+NASDAQ 100 (Mini)
2023-03-10 06:30:00.544000+00:00,2023-03-10 01:30:00.544000-05:00,2023-03-10 07:30:00.544000+01:00,90,-480,4,-1.0,177.2652,-NASDAQ 100 (Mini)
2023-03-13 13:00:00.350000+00:00,2023-03-13 09:00:00.350000-04:00,2023-03-13 14:00:00.350000+01:00,540,-30,0,-1.0,40.077466666666666,-NASDAQ 100 (Mini)
2023-03-16 00:30:00.248000+00:00,2023-03-15 20:30:00.248000-04:00,2023-03-16 01:30:00.248000+01:00,1230,660,2,1.0,732.8466333333333,+NASDAQ 100 (Mini)
2023-03-21 17:00:00.260000+00:00,2023-03-21 13:00:00.260000-04:00,2023-03-21 18:00:00.260000+01:00,780,210,1,1.0,783.9765166666667,+NASDAQ 100 (Mini)
2023-03-27 14:00:00.285000+00:00,2023-03-27 10:00:00.285000-04:00,2023-03-27 16:00:00.285000+02:00,600,30,0,1.0,36.08946666666667,+NASDAQ 100 (Mini)
2023-03-30 15:00:00.114000+00:00,2023-03-30 11:00:00.114000-04:00,2023-03-30 17:00:00.114000+02:00,660,90,3,1.0,119.0047,+NASDAQ 100 (Mini)
2023-04-04 05:30:00.286000+00:00,2023-04-04 01:30:00.286000-04:00,2023-04-04 07:30:00.286000+02:00,90,-480,1,1.0,460.86695,+NASDAQ 100 (Mini)
2023-04-18 13:00:00.504000+00:00,2023-04-18 09:00:00.504000-04:00,2023-04-18 15:00:00.504000+02:00,540,-30,1,1.0,63.09823333333333,+NASDAQ 100 (Mini)
2023-04-21 14:00:00.113000+00:00,2023-04-21 10:00:00.113000-04:00,2023-04-21 16:00:00.113000+02:00,600,30,4,-1.0,20.0627,-NASDAQ 100 (Mini)
2023-04-25 13:00:00.241000+00:00,2023-04-25 09:00:00.241000-04:00,2023-04-25 15:00:00.241000+02:00,540,-30,1,-1.0,256.8024833333333,-NASDAQ 100 (Mini)
2023-04-27 22:00:03.012000+00:00,2023-04-27 18:00:03.012000-04:00,2023-04-28 00:00:03.012000+02:00,1080,510,3,1.0,779.9529,+NASDAQ 100 (Mini)
2023-05-08 19:00:00.198000+00:00,2023-05-08 15:00:00.198000-04:00,2023-05-08 21:00:00.198000+02:00,900,330,0,1.0,794.4953,+NASDAQ 100 (Mini)
2023-05-10 13:30:00.357000+00:00,2023-05-10 09:30:00.357000-04:00,2023-05-10 15:30:00.357000+02:00,570,0,2,1.0,76.03325,+NASDAQ 100 (Mini)
2023-05-10 18:30:00.115000+00:00,2023-05-10 14:30:00.115000-04:00,2023-05-10 20:30:00.115000+02:00,870,300,2,1.0,727.3865833333333,+NASDAQ 100 (Mini)
2023-05-15 19:00:00.309000+00:00,2023-05-15 15:00:00.309000-04:00,2023-05-15 21:00:00.309000+02:00,900,330,0,1.0,1491.1443333333334,+NASDAQ 100 (Mini)
2023-05-17 15:00:00.069000+00:00,2023-05-17 11:00:00.069000-04:00,2023-05-17 17:00:00.069000+02:00,660,90,2,1.0,118.99995,+NASDAQ 100 (Mini)
2023-05-22 15:00:00.317000+00:00,2023-05-22 11:00:00.317000-04:00,2023-05-22 17:00:00.317000+02:00,660,90,0,1.0,135.91721666666666,+NASDAQ 100 (Mini)
2023-05-26 13:00:00.171000+00:00,2023-05-26 09:00:00.171000-04:00,2023-05-26 15:00:00.171000+02:00,540,-30,4,1.0,3690.002483333333,+NASDAQ 100 (Mini)
2023-06-01 23:30:00.131000+00:00,2023-06-01 19:30:00.131000-04:00,2023-06-02 01:30:00.131000+02:00,1170,600,3,1.0,860.7840166666666,+NASDAQ 100 (Mini)
2023-06-12 13:00:00.405000+00:00,2023-06-12 09:00:00.405000-04:00,2023-06-12 15:00:00.405000+02:00,540,-30,0,1.0,720.0012166666667,+NASDAQ 100 (Mini)
2023-06-14 15:00:00.149000+00:00,2023-06-14 11:00:00.149000-04:00,2023-06-14 17:00:00.149000+02:00,660,90,2,1.0,180.01753333333332,+NASDAQ 100 (Mini)
2023-06-14 19:00:00.151000+00:00,2023-06-14 15:00:00.151000-04:00,2023-06-14 21:00:00.151000+02:00,900,330,2,1.0,13.213416666666665,+NASDAQ 100 (Mini)
2023-06-15 22:00:01.664000+00:00,2023-06-15 18:00:01.664000-04:00,2023-06-16 00:00:01.664000+02:00,1080,510,3,1.0,932.8976833333332,+NASDAQ 100 (Mini)
2023-06-22 13:00:00.302000+00:00,2023-06-22 09:00:00.302000-04:00,2023-06-22 15:00:00.302000+02:00,540,-30,3,-1.0,46.52206666666667,-NASDAQ 100 (Mini)
2023-06-26 17:00:00.159000+00:00,2023-06-26 13:00:00.159000-04:00,2023-06-26 19:00:00.159000+02:00,780,210,0,-1.0,1260.5136166666666,-NASDAQ 100 (Mini)
2023-06-30 13:00:00.162000+00:00,2023-06-30 09:00:00.162000-04:00,2023-06-30 15:00:00.162000+02:00,540,-30,4,1.0,359.99923333333334,+NASDAQ 100 (Mini)
2023-07-12 15:00:00.389000+00:00,2023-07-12 11:00:00.389000-04:00,2023-07-12 17:00:00.389000+02:00,660,90,2,1.0,40.1176,+NASDAQ 100 (Mini)
2023-07-17 18:30:00.427000+00:00,2023-07-17 14:30:00.427000-04:00,2023-07-17 20:30:00.427000+02:00,870,300,0,1.0,1142.9717333333333,+NASDAQ 100 (Mini)
2023-07-18 16:00:00.074000+00:00,2023-07-18 12:00:00.074000-04:00,2023-07-18 18:00:00.074000+02:00,720,150,1,1.0,239.99983333333333,+NASDAQ 100 (Mini)
