dur,real,mfe,mae,dir,alt15,alt30,alt45,alt60,alt75,alt90,alt120,alt150,alt180,alt240
73.14306666666667,-59.72998995981027,1.3100225833495571,-65.18586672341398,1,-19.572288339338996,-30.040225804430776,-18.8223922343822,-12.042719285499937,-59.69326035466849,-47.42557223768373,-64.98691469556839,-113.84494153373836,-126.31770327942715,-91.8546208559734
724.2224666666667,73.02572907865735,120.5518606442424,-14.425399548912976,1,22.201710498985783,23.92300949479287,45.39202546547605,46.21611640063694,34.943892888283926,47.396653322537844,84.55690907710256,91.15268310527557,79.59103763787834,91.60814186611299
2.9149833333333333,-26.94067763273189,0.43023249779228223,-38.19291219037457,1,-41.780690187698255,-41.75060399904118,37.570128085178126,55.23974668331766,42.077039145966836,33.367087529823095,18.496988786198543,-19.420634777965738,-44.422257551766094,-97.07308770116607
85.39283333333333,28.40900023137083,58.353060362370535,-29.831231743792095,1,-5.729009818816744,0.528511919020147,-12.053337838550116,17.304311595780497,48.649819062607236,29.120115987582018,-9.499853285982462,-54.454542667576874,-71.415915349613,-55.26215638652854
910.83765,22.218463728080895,58.48325254664388,-44.98370707567645,1,6.5761332617197965,-2.881676373114317,-5.741186004895038,-8.801674091416523,-3.2585109757510278,-8.528284281660303,-6.149054045396785,-10.773036287177185,-1.7600392617334037,-13.972435952710471
3886.76535,122.30215121529886,125.2453721812341,-32.07356180828125,-1,6.565646770166911,6.7316746195267285,-5.509105910599388,3.6239351483158266,-8.880980596701615,2.686632471471384,-20.533116933638684,15.653407506526218,-1.901773547219321,12.52000918586793
173.32538333333332,37.1129434670725,86.94893616986832,-33.08089997996922,-1,27.950533678781085,13.678816876295796,14.480689727288665,7.23953489106699,-29.40362448148548,16.57041897532574,34.62632765642404,62.47966462599397,46.928191152232344,37.61350651950934
195.6284,10.797794566624885,85.94430229234229,-12.45625822311247,-1,0.49947882052259196,13.148092964808678,30.785029569065927,33.216149782867575,29.72626378446419,57.52735192089742,54.367218930214676,49.52599217467046,75.30815135695535,73.68363286302414
62.0011,31.859822755149203,75.54570631417734,-3.0125333837260904,-1,62.11960023100982,51.951677636686846,48.83955637250858,29.984251006605067,-0.44814546204197114,11.817761813840422,33.51132177267346,30.614974249478788,36.88071172802565,37.395249110369065
121.1652,25.573056777543623,56.80769085292914,-16.67286534746126,1,17.582875935728826,8.260465181739729,43.85323432396726,47.331745799337185,39.5110924133335,39.94130831534548,27.850482221647432,12.15479871853331,44.900786055630526,58.89319842252938
