timestamp,open,high,low,close
1546300800000,6337.87,6337.87,6337.87,6337.87
1546300860000,6337.87,6337.87,6337.87,6337.87
1546300920000,6337.87,6337.87,6337.87,6337.87
1546300980000,6337.87,6337.87,6337.87,6337.87
1546301040000,6337.87,6337.87,6337.87,6337.87
1546301100000,6337.87,6337.87,6337.87,6337.87
1546301160000,6337.87,6337.87,6337.87,6337.87
1546301220000,6337.87,6337.87,6337.87,6337.87
1546301280000,6337.87,6337.87,6337.87,6337.87
1546301340000,6337.87,6337.87,6337.87,6337.87
1546301400000,6337.87,6337.87,6337.87,6337.87
1546301460000,6337.87,6337.87,6337.87,6337.87
1546301520000,6337.87,6337.87,6337.87,6337.87
1546301580000,6337.87,6337.87,6337.87,6337.87
1546301640000,6337.87,6337.87,6337.87,6337.87
1546301700000,6337.87,6337.87,6337.87,6337.87
1546301760000,6337.87,6337.87,6337.87,6337.87
1546301820000,6337.87,6337.87,6337.87,6337.87
1546301880000,6337.87,6337.87,6337.87,6337.87
1546301940000,6337.87,6337.87,6337.87,6337.87
1546302000000,6337.87,6337.87,6337.87,6337.87
1546302060000,6337.87,6337.87,6337.87,6337.87
1546302120000,6337.87,6337.87,6337.87,6337.87
1546302180000,6337.87,6337.87,6337.87,6337.87
1546302240000,6337.87,6337.87,6337.87,6337.87
1546302300000,6337.87,6337.87,6337.87,6337.87
1546302360000,6337.87,6337.87,6337.87,6337.87
1546302420000,6337.87,6337.87,6337.87,6337.87
1546302480000,6337.87,6337.87,6337.87,6337.87
1546302540000,6337.87,6337.87,6337.87,6337.87
1546302600000,6337.87,6337.87,6337.87,6337.87
1546302660000,6337.87,6337.87,6337.87,6337.87
1546302720000,6337.87,6337.87,6337.87,6337.87
1546302780000,6337.87,6337.87,6337.87,6337.87
1546302840000,6337.87,6337.87,6337.87,6337.87
1546302900000,6337.87,6337.87,6337.87,6337.87
1546302960000,6337.87,6337.87,6337.87,6337.87
1546303020000,6337.87,6337.87,6337.87,6337.87
1546303080000,6337.87,6337.87,6337.87,6337.87
1546303140000,6337.87,6337.87,6337.87,6337.87
1546303200000,6337.87,6337.87,6337.87,6337.87
1546303260000,6337.87,6337.87,6337.87,6337.87
1546303320000,6337.87,6337.87,6337.87,6337.87
1546303380000,6337.87,6337.87,6337.87,6337.87
1546303440000,6337.87,6337.87,6337.87,6337.87
1546303500000,6337.87,6337.87,6337.87,6337.87
1546303560000,6337.87,6337.87,6337.87,6337.87
1546303620000,6337.87,6337.87,6337.87,6337.87
1546303680000,6337.87,6337.87,6337.87,6337.87
1546303740000,6337.87,6337.87,6337.87,6337.87
1546303800000,6337.87,6337.87,6337.87,6337.87
1546303860000,6337.87,6337.87,6337.87,6337.87
1546303920000,6337.87,6337.87,6337.87,6337.87
1546303980000,6337.87,6337.87,6337.87,6337.87
1546304040000,6337.87,6337.87,6337.87,6337.87
1546304100000,6337.87,6337.87,6337.87,6337.87
