min,n,media,t
0,3683,0.09681792838402828,0.3433535974054223
5,3683,0.03259163152773921,0.12062542751749158
10,3683,0.11004325368404876,0.4094982265907174
15,3683,-0.024077540120199463,-0.08529459649360305
20,3683,0.11765084279506444,0.42088437859421
25,3683,0.06974093360878507,0.2759448250175642
30,3683,0.10357184835194212,0.3709685174530123
35,3683,0.04172877245768617,0.160659879602418
40,3683,0.1864621344660635,0.7018684988575958
45,3683,0.03973173988371685,0.1443999734520787
50,3683,0.11122143776264153,0.39523524867819326
55,3683,0.12982715644358545,0.4572453084700148
60,3683,0.1354598031750097,0.4716520613470276
65,3683,0.2706454617355698,0.9654444649489613
70,3683,0.4302792405073976,1.5226186227193383
75,3683,0.4483549399104069,1.5689028512540262
80,3683,0.5271703212915836,1.7332767507946993
85,3683,0.6694203898076782,2.2330346354952777
90,3683,0.6309975987496812,2.112303229045132
95,3683,0.8035048599124631,2.64308264166726
100,3683,0.4822613353934152,1.5174691759646968
105,3683,0.3388940861883378,1.023922665454783
110,3683,0.6298300749318565,1.8516759052620413
115,3683,0.6159868135984475,1.7116978366014488
120,3683,0.6776682157764622,1.8214701959290216
125,3683,0.5974411219486159,1.5659687491287908
130,3683,0.5228471833477186,1.374277204741883
135,3683,0.6868375247000329,1.742113967816368
140,3683,0.6486804171713461,1.6098186086134971
145,3683,0.5679783697941005,1.4323555401381016
150,3683,0.4793475279249076,1.202308169278554
155,3683,0.3843910956368045,0.9522920042755596
160,3683,0.30599583772578676,0.7590621094905662
165,3683,0.2645714095046572,0.6394241362821531
170,3683,0.29095194076173597,0.6930995139743733
175,3683,0.15871976358718562,0.3748328143218423
180,3683,0.01943017929414741,0.04511496995702246
185,3683,0.07968500688860812,0.18820514657851
190,3683,0.21186793198136394,0.5069947676431763
195,3683,0.1805573199639304,0.43696135241197304
200,3683,-0.2008409079936722,-0.49642690895803415
205,3683,-0.4222448173092869,-1.0672148400018524
210,3683,-0.3604091103361493,-0.9227198127238759
215,3683,-0.1916459144105184,-0.501911687724193
220,3683,-0.5459085327237483,-1.44273951055785
225,3683,-0.47534503680593093,-1.2807651299193672
230,3683,-0.5091781411919303,-1.3736473159284652
235,3683,-0.39771912325848346,-1.0690978016589956
240,3683,-0.5037917320246376,-1.362642854291271
245,3683,-0.5746905406805919,-1.5945100506851317
250,3683,-0.6674896337241942,-1.8776461188139448
255,3683,-0.5035823115003161,-1.4364342764379536
260,3683,-0.34543553466530774,-1.0056276254931498
265,3683,-0.18558262738407594,-0.553051744596473
270,3683,-0.18709748524481928,-0.5659045566983206
275,3683,-0.3580268276086307,-1.078119835188217
280,3683,-0.32582298190329867,-1.0006719342005626
285,3683,-0.32676117300577057,-1.0473029635987599
290,3683,-0.32092393086371296,-1.0391102813500557
295,3683,-0.3710538434445387,-1.1776388268166675
300,3683,-0.4980586595015083,-1.5564607318713723
305,3683,-0.2497821461803738,-0.7872394599412265
310,3683,-0.15145812914997656,-0.48517870312474376
315,3683,-0.23441280710750384,-0.748849948938169
320,3683,-0.27674489757808546,-0.8719954846864427
325,3683,-0.24995716143046148,-0.7990107438879201
330,3683,-0.330524901478283,-1.0543826522493154
335,3683,-0.278482506218098,-0.8478530708401971
340,3683,-0.06719537300488629,-0.20950462253634247
345,3683,-0.04118317252371427,-0.1280868387449538
350,3683,-0.05265985291196383,-0.16210521676959105
355,3683,0.19027752282503568,0.577653668351493
360,3683,0.0431942110265551,0.12244459945954386
365,3683,0.09661312698323206,0.28209178524653805
370,3683,0.38729050887866967,1.137930266256478
375,3683,0.29231057450710185,0.8440203812677504
380,3683,0.25913394435244114,0.7482574015436906
385,3683,0.0535308145223904,0.15245501058211386
390,3683,0.06362779587154459,0.18276569990314473
395,3683,0.01667361240743746,0.04784613841059273
400,3683,-0.08129868749707904,-0.2338003162987657
405,3683,-0.07729723727448977,-0.21747686030367028
410,3683,-0.25638850006293756,-0.6767715563071346
415,3683,-0.13789043836087145,-0.3550127593804581
420,3683,-0.435039617437621,-1.0620336110540585
425,3683,-0.5437331789834324,-1.3874538315588145
430,3683,-0.3346528724293164,-0.7255540160928412
435,3683,-0.43355941435345874,-0.8963747904291064
440,3683,-0.5222643904364221,-1.0773861232414002
445,3683,-0.40177609578609724,-0.8118447650503344
450,3683,-0.4980492253595236,-0.9894745905327014
455,3683,-0.25838725604033635,-0.49506415789915026
460,3683,-0.4157962951872912,-0.7828232515996605
465,3683,-0.20971908254039076,-0.3926225111661407
470,3683,-0.43376108635604066,-0.8262811485259606
475,3683,-0.4126252456902475,-0.7809271470950768
480,3683,-0.2236529439539459,-0.4261217634858028
485,3683,-0.27540433196198694,-0.5379880191666352
490,3683,0.9062736313465818,1.5889423462462682
495,3683,0.8858562387845174,1.3556073649410163
500,3683,0.6677050475507318,0.9650924482066576
505,3683,0.8548055209128321,1.148744655265757
510,3683,0.15510061719455082,0.2022018643532225
515,3683,0.6433651469823414,0.8607976822072484
520,3683,0.9101654659659714,1.1385537605173304
525,3683,0.8526438621792224,1.055264855842678
530,3683,0.4940887204385621,0.5955762370689597
535,3683,0.7470510078864939,0.8603601774886313
540,3683,1.0573374918041885,1.2079302047071245
545,3683,1.4513105472975751,1.6219151235956502
550,3683,1.4713562742523572,1.6091186680577154
555,3683,1.3268005139936534,1.4097964010193968
560,3683,1.2817861770641665,1.3383738927652047
565,3683,1.3849343530479028,1.4159371259383013
570,3683,1.2787054059457086,1.3082773880697558
575,3683,0.13012992046496233,0.14114259584861805
580,3683,-0.2359098153466479,-0.2588381400809862
585,3683,0.4472826718858715,0.4979296890147075
590,3683,0.8197546072995145,0.9470832558886085
595,3683,0.7497909401553514,0.8854504819602661
600,3683,0.34050909376027005,0.4074971624329152
605,3683,0.6311066724064345,0.7620497453282385
610,3683,0.7996036053606754,0.9965094574179559
615,3683,0.9115035150932372,1.1641355971219705
620,3683,0.6050769295868959,0.7830622877249072
625,3683,0.1003227924565826,0.13152893139785904
630,3683,0.410796963993515,0.5444266106724465
635,3683,0.6254363118685816,0.8501023669503831
640,3683,0.6513819128123859,0.9056602811884129
645,3683,0.20326286200920599,0.28147302519636525
650,3683,0.15529632538404686,0.22389392335497696
655,3683,0.5892264860926176,0.8444584646824846
660,3683,0.9071608876068081,1.3284619278697714
665,3683,0.7327908791812191,1.1012824243203694
670,3683,0.44583564752111166,0.6877435070254525
675,3683,0.4472763141278208,0.7051016577294628
680,3683,0.38230077384813593,0.6136116282014741
685,3683,0.06492819475856616,0.1042437713302206
690,3683,0.19075611173031493,0.3118193709182438
695,3683,0.1425634454847845,0.2348134364209674
700,3683,0.010679027976297335,0.01780572583740269
705,3683,0.2004139244855826,0.3284335788824826
710,3683,-0.02352434069770678,-0.03911741485588236
715,3683,-0.34955109973639725,-0.5817724139137495
720,3683,-0.4874480758334667,-0.7974027047511031
725,3683,-0.22439089581718596,-0.3669688255178429
730,3683,0.14064936432259584,0.22713124178765678
735,3683,-0.16418166228509753,-0.27207437913045
740,3683,0.22246629199425932,0.3725790813984409
745,3683,0.13305741175361419,0.2182639762975938
750,3683,0.18500532749967677,0.30044621102847974
755,3683,-0.18056663997837244,-0.2998016050218522
