fecha,apertura,cierre,cierre_prev,r_noct,r_intra,r_total
2011-09-20,2318.57,2295.82,2308.76,0.004240032457987074,-0.00986053815649717,-0.005620505698510178
2011-09-21,2308.41,2258.3,2295.82,0.005468897678588643,-0.021946658009021538,-0.016477760330432908
2011-09-22,2195.42,2171.44,2258.3,-0.028238945654354575,-0.01098283024580514,-0.039221775900159656
2012-01-19,2442.68,2441.7,2171.44,0.11770525526314382,-0.0004012791851372253,0.11730397607800654
2012-01-20,2428.66,2437.02,2441.7,-0.005354853094865994,0.003436316496944828,-0.0019185365979212034
2012-01-23,2436.86,2437.22,2437.02,-6.565610973491142e-05,0.00014772018541110582,8.206407567626553e-05
2012-01-24,2427.79,2433.97,2437.22,-0.0038766669790730054,0.0025422905814227173,-0.0013343763976502913
2012-01-25,2456.55,2465.66,2433.97,0.009234257482776011,0.003701593553279262,0.012935851036055138
2012-01-26,2474.42,2454.63,2465.66,0.0035465049884688643,-0.008029988066390307,-0.004483483077921424
2012-01-27,2450.38,2461.78,2454.63,-0.0017329224868326938,0.00464155095387303,0.0029086284670402623
2012-01-30,2438.33,2465.32,2461.78,-0.009571286775202118,0.011008237764272491,0.0014369509890703417
2012-01-31,2476.59,2467.95,2465.32,0.004560997483642565,-0.0034947674783282015,0.0010662300053143868
2012-02-01,2481.62,2488.18,2467.95,0.0055237262055994095,0.002639946802645499,0.00816367300824499
2012-02-02,2495.08,2495.83,2488.18,0.002769273290818682,0.00030054639560533214,0.0030698196864240297
2012-02-03,2518.86,2529.17,2495.83,0.009185079002517093,0.0040847674579870515,0.013269846460504267
2012-02-06,2519.33,2528.3,2529.17,-0.0038981925168422296,0.0035541469728918827,-0.000344045543950452
2012-02-07,2522.79,2532.06,2528.3,-0.0021817081800422425,0.003667768733820011,0.001486060553777811
2012-02-08,2533.48,2545.72,2532.06,0.0005606510015500653,0.004819665968559652,0.005380316970109658
2012-02-09,2553.63,2563.93,2545.72,0.0031023586709028337,0.004025361269053472,0.007127719939956222
2012-02-10,2543.83,2547.32,2563.93,-0.007870418248009879,0.0013710067653350771,-0.006499411482674746
2012-02-13,2564.93,2569.49,2547.32,0.006889361690975181,0.0017762478328306852,0.008665609523805885
2012-02-14,2561.6,2575.24,2569.49,-0.0030753723745162546,0.005310670395669232,0.002235298021153065
2012-02-15,2585.47,2556.01,2575.24,0.0039645759593057925,-0.011459860744585732,-0.007495284785279964
2012-02-16,2555.55,2592.29,2556.01,-0.00017998419317857508,0.014274190270149385,0.014094206076970987
2012-02-17,2587.22,2584.24,2592.29,-0.0019577147719739537,-0.0011524793113891886,-0.0031101940833631824
2012-02-21,2589.21,2590.24,2584.24,0.0019213490142672403,0.00039772563248114675,0.0023190746467484312
2012-02-22,2586.84,2579.78,2590.24,-0.001313481919852925,-0.002732929611314463,-0.004046411531167377
2012-02-23,2578.91,2594.93,2579.78,-0.0003372949366014991,0.006192712258901269,0.0058554173222997085
2012-02-24,2602.66,2604.21,2594.93,0.0029744576618002294,0.000595367291975772,0.0035698249537759507
2012-02-27,2589.38,2606.76,2604.21,-0.005710901440404336,0.006689606059139938,0.0009787046187355627
2012-02-28,2610.04,2633.46,2606.76,0.0012574760129607757,0.0089330240261968,0.01019050003915779
2012-02-29,2637.77,2623.77,2633.46,0.0016352923171543481,-0.0053216484298957084,-0.003686356112741486
2012-03-01,2634.2,2643.54,2623.77,0.003967315781690422,0.003539397450590574,0.007506713232280879
2012-03-02,2640.43,2641.58,2643.54,-0.0011771453506057164,0.00043544030328268563,-0.0007417050473230919
2012-03-05,2636.6,2614.92,2641.58,-0.001887014644344098,-0.008256704027039081,-0.010143718671383126
2012-03-06,2587.1,2588.92,2614.92,-0.010695947045355245,0.0007032430612736307,-0.009992703984081487
2012-03-07,2599.85,2607.85,2588.92,0.00421295072486701,0.0030723760174339704,0.0072853267423007755
2012-03-08,2623.45,2636.81,2607.85,0.005964118380476357,0.005079607748163231,0.011043726128639426
2012-03-09,2641.15,2646.85,2636.81,0.0016445751685020278,0.002155825343268277,0.003800400511770534
2012-03-12,2646.98,2646.85,2646.85,4.911377963636554e-05,-4.911377963635825e-05,0.0
2012-03-13,2665.3,2697.11,2646.85,0.006946367925390867,0.011864207745734337,0.018810575671125124
2012-03-15,2716.19,2714.79,2697.11,0.007049333682586255,-0.0005155607389496562,0.0065337729436366196
2012-03-16,2715.71,2712.78,2714.79,0.0003388269989141252,-0.0010794899813859945,-0.0007406629824717701
2012-03-19,2716.98,2733.26,2712.78,0.001547030011512706,0.005974066616768657,0.007521096628281218
2012-03-20,2719.4,2737.63,2733.26,-0.005083768234445216,0.006681314860098419,0.0015975466256531728
2012-03-21,2739.4,2736.88,2737.63,0.0006463357190368321,-0.0009203328456078157,-0.00027399712657097793
2012-03-22,2721.7,2731.5,2736.88,-0.005561900396228073,0.003594223776887356,-0.001967676619340736
2012-03-23,2734.68,2728.7,2731.5,0.0011635183469078185,-0.0021891218945561917,-0.0010256035476484085
2012-03-26,2746.98,2778.02,2728.7,0.006676821110824029,0.011236317313471323,0.017913138424295476
2012-03-27,2779.67,2782.12,2778.02,0.0005937718902918434,0.0008810113860717151,0.0014747832763634468
2012-03-28,2785.98,2770.97,2782.12,0.0013864695743032638,-0.00540225717517021,-0.004015787600866787
2012-03-29,2756.34,2761.96,2770.97,-0.00529372666463501,0.0020368598818551135,-0.0032568667827800653
2012-03-30,2762.88,2755.27,2761.96,0.0003330413219219951,-0.0027581725123211275,-0.002425131190399127
2012-04-02,2752.19,2784.42,2755.27,-0.0011184830470274668,0.011642634777028817,0.010524151730001366
2012-04-03,2786.52,2773.96,2784.42,0.000753912301861896,-0.004517603286457265,-0.0037636909845954634
