fecha,tod,dir,bp,pos
2011-09-19,580,-1,-3.7010708673897326,0.10638297872340151
2011-09-19,665,1,48.97198830871292,0.9950138504155045
2011-09-20,575,-1,-61.62228698486553,-0.35608308605337
2011-09-20,655,1,1.4895554820730355,0.8959107806691555
2011-09-21,575,1,-72.4840491380126,0.9934210526315354
2011-09-21,655,-1,-55.53841222278381,-0.0003987240829433137
2011-09-22,580,1,-8.636673108168447,1.039502560351131
2011-09-22,725,-1,-28.901367882665106,0.1131778883940308
2012-01-19,685,1,-10.915419205165966,0.8785425101215582
2012-01-19,770,-1,-3.4712279178701784,0.19815668202767248
2012-01-20,580,-1,-12.575858891667613,0.18251533742332177
2012-01-20,665,-1,-7.885891972820458,0.1978527607361913
2012-01-23,575,1,37.67876442812219,0.8579234972677588
2012-01-23,675,-1,38.02053468919304,0.12098501070665087
2012-01-24,575,-1,-41.04220447928868,0.17752596789425534
2012-01-24,655,1,-7.002771523598339,0.8913301662707862
2012-01-25,575,-1,16.786689908841314,-0.026470588235269335
2012-01-25,685,1,5.7136652645998875,0.8103879849812142
2012-01-26,590,1,-42.92962317621844,0.8542116630669679
2012-01-26,670,-1,16.37647880801714,0.16682509505704488
2012-01-27,575,1,0.21087852476937596,0.9929701230228536
2012-01-27,680,1,-16.61707304185871,0.8325434439178582
2012-01-30,580,1,36.03293307651341,0.8574999999999591
2012-01-30,660,1,35.066347782435734,0.9758539458186187
2012-01-31,575,1,-62.62936079711583,0.9707467282524931
2012-01-31,655,-1,10.492980530831097,0.053547523427052934
2012-02-01,575,1,5.92559488795259,0.8311611374407648
2012-02-01,655,1,24.64287888426493,0.935426540284352
2012-02-02,575,1,24.835733799060524,0.8715789473684421
2012-02-02,655,1,-27.089360614013945,0.9819518716577552
2012-02-03,575,1,40.92756866734422,0.8962673611111165
2012-02-03,655,1,6.9607686858667694,0.9536667689475234
2012-02-06,575,-1,-6.5621153150448475,0.059382422802849846
2012-02-06,680,1,9.828800019029815,0.8088097469540816
2012-02-07,575,-1,-20.512343504545825,-0.07515337423309557
2012-02-07,655,1,26.502352373341378,0.9853281853281809
2012-02-08,575,1,-7.889514679449583,0.8992537313432928
2012-02-08,665,-1,-6.052866556771219,0.0014903129657214383
2012-02-09,590,-1,-30.164592700214364,0.08201058201060663
2012-02-09,670,1,32.16347333278509,0.8689258312020625
2012-02-10,575,-1,-5.902690422567458,0.14558058925477202
2012-02-10,840,-1,8.055345941631442,0.17246773562768497
2012-02-13,575,-1,29.59313551124816,-0.0073891625615129025
2012-02-13,725,1,-7.764631067054983,0.8253638253638301
2012-02-14,590,1,-31.47779184110648,0.8193146417445645
2012-02-14,745,-1,-9.73750590919491,0.159322033898318
2012-02-15,575,1,45.42703292198565,0.9255691768826705
2012-02-15,655,1,11.043366892838202,0.8931737588652364
2012-02-16,580,-1,-23.50916141161856,0.19559228650138155
2012-02-16,700,1,56.40799132868897,0.9592727272727313
2012-02-17,580,-1,5.865300676420171,0.19169719169721042
2012-02-17,660,-1,12.376237746426888,0.030965391621142528
2012-02-21,580,1,31.2696469606792,0.813953488372133
2012-02-21,660,1,0.023273908243260144,0.985359643539146
2012-02-22,575,-1,-2.025582016417937,0.1863354037267144
2012-02-22,695,-1,12.691337252988388,0.11401425178147602
2012-02-23,585,-1,-80.91561108237238,0.034849951597258
2012-02-23,665,1,-2.4839282819962167,0.9384410983171002
2012-02-24,575,1,-11.538979899901758,0.8557114228456861
2012-02-24,670,1,7.624480424488889,0.8743169398907421
2012-02-27,575,-1,-57.61354569351966,0.03134796238255865
2012-02-27,655,1,32.00164199068474,0.8882187374346517
2012-02-28,580,1,41.16406295407145,0.850551654964868
2012-02-28,660,1,4.777343033238024,0.8584260051325922
2012-02-29,575,1,-46.13528854533659,0.8798751950078004
2012-02-29,655,-1,-5.802875699616061,0.15705765407554034
2012-03-01,595,1,-32.37938769323838,0.9722222222222199
2012-03-01,705,1,10.936965712314128,0.8629227053140103
2012-03-02,595,1,3.418626579910056,0.9516380655226283
2012-03-02,690,1,-37.735970886247514,0.9033124440465604
2012-03-05,605,1,-112.9419572613029,1.0174672489083476
2012-03-05,740,-1,-2.122171620142099,0.19886975242195645
2012-03-06,580,-1,34.43593894827885,0.11555708865127066
2012-03-06,660,-1,-0.5549528749578144,0.15663560815914868
