Date,Close,High,Low,Open,Volume
2003-04-14,7.199284076690674,7.199284076690674,7.149387994525162,7.149387994525162,93600
2003-04-15,7.284820079803467,7.3062043773266785,7.243477594033119,7.243477594033119,421200
2003-04-16,7.3689284324646,7.39886570623733,7.36322644420388,7.36322644420388,9000
2003-04-17,7.421677589416504,7.423815835617784,7.396729548330442,7.409560249141097,17100
2003-04-21,7.418824195861816,7.430942145020112,7.413122819166397,7.430229396458017,72900
2003-04-22,7.4437761306762695,7.443776130676269,7.395305536236174,7.418114723900774,19800
2003-04-23,7.478698253631592,7.478698253631592,7.423812344333507,7.448760373686964,31500
2003-04-24,7.331153392791748,7.420253114808752,7.313332836586774,7.420253114808752,90000
2003-04-25,7.209973335266113,7.228506631103093,7.199281496291859,7.228506631103093,102600
2003-04-28,7.329011917114258,7.329011917114257,7.227794889298727,7.228507637876197,91800
2003-04-29,7.537861347198486,7.54142570132063,7.442346323184887,7.442346323184887,76500
2003-04-30,7.516478538513184,7.526457018165097,7.497233104153267,7.52004228124601,228600
2003-05-01,7.487255096435547,7.525033225163913,7.484404101603659,7.495095944024702,234900
2003-05-02,7.602015972137451,7.602015972137452,7.511490159165671,7.511490159165671,67500
2003-05-05,7.683987140655518,7.685412026032189,7.630526713869627,7.630526713869627,47700
2003-05-06,7.723190784454346,7.732457127941975,7.676859067016202,7.683987164730078,109800
2003-05-07,7.7089362144470215,7.710361711816957,7.684700923753782,7.6911156619184915,313200
2003-05-08,7.641218185424805,7.666878968794089,7.634090088077558,7.6626018656652075,417600
2003-05-09,7.7310309410095215,7.736733541032119,7.651910348227378,7.651910348227378,63000
2003-05-12,7.838662624359131,7.838662624359131,7.762393038314581,7.765956780362883,752400
2003-05-13,7.794471740722656,7.81086679625538,7.773088056082768,7.81086679625538,276300
2003-05-14,7.755268573760986,7.79447220185394,7.740299626546605,7.79447220185394,206100
2003-05-15,7.770951271057129,7.77095127105713,7.751705827387269,7.77095127105713,337500
2003-05-16,7.776652812957764,7.805165211928321,7.755269125531385,7.790909012443042,256500
2003-05-19,7.5913238525390625,7.726755897716886,7.562812068428485,7.726755897716886,128700
2003-05-20,7.629101276397705,7.638367619928821,7.5877587989042965,7.609142480344913,53100
2003-05-21,7.635518550872803,7.637657409168657,7.575643978223458,7.615560359989687,45900
2003-05-22,7.704658031463623,7.704658031463623,7.6376547700492035,7.6376547700492035,84600
2003-05-23,7.783782482147217,7.802315178133909,7.758834433918465,7.758834433918465,74700
2003-05-27,8.062483787536621,8.06747363960151,7.80231157938239,7.80231157938239,864000
2003-05-28,8.097411155700684,8.108816357385397,8.062484025619225,8.062484025619225,396000
2003-05-29,8.10810375213623,8.124497582720284,8.076027616008027,8.09028320066391,306900
2003-05-30,8.20219612121582,8.20219612121582,8.109532036005165,8.125926484024061,368100
2003-06-02,8.261356353759766,8.354019802405686,8.22571585989427,8.22571585989427,587700
2003-06-03,8.198629379272461,8.268484256148549,8.130913360238523,8.268484256148549,244800
2003-06-04,8.304123878479004,8.304837238990999,8.197204230282384,8.197204230282384,241200
2003-06-05,8.312677383422852,8.334061066532701,8.25850420339516,8.334061066532701,509400
2003-06-06,8.390371322631836,8.475194518196837,8.356869693536348,8.357582442087203,608400
2003-06-09,8.318381309509277,8.401066284121942,8.29200776984518,8.401066284121942,208800
2003-06-10,8.403916358947754,8.403916358947754,8.321231393389098,8.321231393389098,233100
2003-06-11,8.411044120788574,8.417459470971291,8.339764355474063,8.400352278351692,294300
2003-06-12,8.474483489990234,8.474483489990234,8.418884809127572,8.425300159188929,402300
2003-06-13,8.471635818481445,8.478763920034575,8.448113266896627,8.454528619474614,694800
2003-06-16,8.562870979309082,8.563583727998072,8.485888614685107,8.496579845019959,163800
