Date,s1,s2,cartera
2002-07-31,0.0,0.005179785491893817,0.0014312797350516226
2002-08-01,0.0,0.00894021612160026,0.002470362948784941
2002-08-02,0.0,0.006469920985930266,0.001787770325438997
2002-08-05,0.0,0.0070099159364709444,0.0019369818769498874
2002-08-06,0.0,-0.01098899473513554,-0.0030364820121610734
2002-08-07,0.0,-0.0012490751993540937,-0.000345144798600036
2002-08-08,0.0,-0.00742513012114596,-0.0020517139733197795
2002-08-09,0.0,0.0038636744735982306,0.0010676115807404859
2002-08-12,0.0,0.004692452284736196,0.00129661969078647
2002-08-13,-0.005920513262656739,0.007944988835760065,-0.0020891939540025285
2002-08-14,0.0,-0.005495270397667229,-0.0015184546099677387
2002-08-15,0.0,-0.005084682439735394,-0.0014050008338289891
2002-08-16,0.0,-0.00331545349009664,-0.000916127009565896
2002-08-19,0.0,-0.00475314673286032,-0.0013133907971896502
2002-08-20,0.0,0.006260960227967787,0.0017300302320006154
2002-08-21,0.0,-0.004869080489019275,-0.001345425644203761
2002-08-22,0.0,-0.0058936738660243905,-0.0016285415646353153
2002-08-23,0.0,0.006630335293568498,0.0018320960505282407
2002-08-26,0.0,-0.0009680710107009717,-0.0002674976448108958
2002-08-27,0.0,0.002316697548550205,0.0006401504963232278
2002-08-28,0.0,0.0053972341408026125,0.0014913652048234073
2002-08-29,0.0,0.003463287482527872,0.000956976538537652
2002-08-30,0.0,0.001660608895888982,0.000458859901486645
2002-09-03,0.0,0.01274556987486184,0.0035218593322296904
2002-09-04,0.0,-0.002341671654803029,-0.0006470513481512876
2002-09-05,0.0,0.002968027930623437,0.0008201262845375784
2002-09-06,0.0,-0.00658135711207133,-0.0018185623861040512
2002-09-09,0.0,-0.0017319722013377312,-0.0004785790294456967
2002-09-10,0.0,-0.001097044442573655,-0.00030313561856257345
2002-09-11,0.0,-0.003364359611953443,-0.0009296407624506734
2002-09-12,0.0,0.006045235455265725,0.0016704211041708467
2002-09-13,0.0,0.0014291407997674632,0.0003949005742503768
2002-09-16,0.0,0.0003386045419507759,9.356329906885601e-05
2002-09-17,0.0,0.004056884850625488,0.0011209995246376934
2002-09-18,0.0,0.0023527241531498665,0.0006501053774986952
2002-09-19,0.0,0.0057073233295083315,0.0015770491337327537
2002-09-20,0.0,-0.003142729163172842,-0.0008683997766016451
2002-09-23,0.0,0.0060600035578110036,0.0016745018302803162
2002-09-24,-0.01560544913448702,0.0047395381540859816,-0.00998371671688243
2002-09-25,0.0,-0.007492003706096466,-0.0020701925004903937
2002-09-26,0.0,-0.003033240181180181,-0.0008381457513369363
2002-09-27,0.0,0.0047694047777257454,0.0013178832245660079
2002-09-30,0.0,0.006021118243553698,0.0016637570296752148
2002-10-01,0.0,-0.01005998586945182,-0.002779778029878932
2002-10-02,0.0,0.006176598988460034,0.0017067195113693759
2002-10-03,0.0,0.0015141204431772682,0.0004183821724159212
2002-10-04,0.0,0.00514706140106348,0.0014222374053785602
2002-10-07,0.0,0.006388070693867483,0.0017651534304882592
2002-10-08,0.0,-0.0020450884342989198,-0.0005650993920465037
2002-10-09,0.0,0.003728345840536182,0.0010302175360687384
2002-10-10,0.0,-0.0075129856871407295,-0.0020759902471957138
2002-10-11,0.0,-0.010509149217629658,-0.0029038909683357385
2002-10-14,0.0,0.001244704158626597,0.00034393699143810976
2002-10-15,0.0,-0.0171060787603341,-0.004726756332705116
2002-10-16,0.0,0.004228601165442574,0.0011684482234226273
2002-10-17,0.0,-0.005760657150073238,-0.001591786349528059
2002-10-18,0.0,0.0014056058871729094,0.00038839740080516143
2002-10-21,0.0,-0.006915538915835,-0.0019109035929548894
2002-10-22,0.0,0.001545064922398532,0.0004269327593254435
2002-10-23,0.0,-0.0009043001957186409,-0.0002498764758812602
2002-10-24,0.0,0.00554205027631901,0.0015313808387521642
2002-10-25,0.0,-0.0031572343880768862,-0.0008724078642898351
2002-10-28,0.0,-0.0005306576124304746,-0.00014663145570627159
2002-10-29,0.0,0.006430493192140796,0.0017768756267421155
2002-10-30,0.0,-0.003090554852220803,-0.000853982956817737
2002-10-31,0.0,0.0013056388353539809,0.00036077447787424
2002-11-01,0.0,-0.005809775881294515,-0.0016053588506902176
2002-11-04,0.0,-0.0037520112124565593,-0.001036756758070326
2002-11-05,0.0,-0.0031477916610149,-0.0008697986473814139
2002-11-06,0.006514550282720195,-0.0008298467313217526,0.00448514450349968
2002-11-07,0.0,0.008889885785557237,0.002456455656649108
2002-11-08,0.0,0.0017282036408802512,0.0004775376997957432
2002-11-11,0.0,0.004747270352510764,0.0013117670341741862
2002-11-12,0.0,-0.0043643173077675766,-0.0012059493447592444
2002-11-13,0.0,0.0014638536650639496,0.0004044924426244999
2002-11-14,0.0,-0.008937906549616863,-0.002469724767226718
2002-11-15,0.0,-0.001551295528908131,-0.0004286544022097339
2002-11-18,0.0,0.003629345734806873,0.0010028617999441288
2002-11-19,0.0,0.003815155140352043,0.001054204705389728
2002-11-20,0.0,-0.005798919440503602,-0.001602358996019954
2002-11-21,0.0,-0.007064940577092269,-0.0019521863006027684
2002-11-22,0.0,0.0008567580183592706,0.000236739608510751
2002-11-25,0.0,-0.0017387893137639804,-0.0004804627358042957
2002-11-26,0.0,0.007092728927603727,0.001959864785169321
2002-11-27,0.0,-0.009331786642091675,-0.0025785618214409726
2002-11-29,0.0,0.001708257563297198,0.0004720261942163966
2002-12-02,0.0,-0.0035222031534286008,-0.0009732561327349694
2002-12-03,0.0,0.00365373012906703,0.0010095997023940838
2002-12-04,0.0,0.0025563124279824765,0.0007063609449383223
2002-12-05,0.0,0.0026006304189608227,0.0007186069042516521
2002-12-06,0.0,0.0014957788141051372,0.00041331400848522204
2002-12-09,0.0,0.007177927781908382,0.001983406955748915
2002-12-10,0.007099584164179003,-0.0030034236959171896,0.004307918286151293
2002-12-11,0.0,0.0017523069567229024,0.00048419793458097214
2002-12-12,0.0,0.0017491167637019003,0.00048331641957827384
2002-12-13,0.0,0.003736539666532144,0.0010324816562951285
2002-12-16,0.0,-0.007628370670643926,-0.0021078734572004217
2002-12-17,0.0,0.0008800069726859023,0.00024316376588964716
2002-12-18,0.0,0.006764620023177911,0.0018692016435142098
2002-12-19,0.0,0.003127866975669198,0.0008642930529109069
2002-12-20,0.0,-0.001389527959723065,-0.0003839547435220354
2002-12-23,0.0,-0.0008349172413519651,-0.00023070455907149164
2002-12-24,0.0,0.002853017201977575,0.0007883464887367762
2002-12-26,0.0,0.0008794242706369675,0.00024300275350109965
2002-12-27,0.0,0.006253798342577436,0.001728051257882862
2002-12-30,0.0,0.0014595374956487958,0.0004032997975185149
2002-12-31,0.0,-0.0006518745176468912,-0.0001801261439039671
