timestamp,open,high,low,close
1451865600000,2024.593,2024.593,2024.593,2024.593
1451866500000,2024.593,2024.593,2024.593,2024.593
1451867400000,2024.593,2024.593,2024.593,2024.593
1451868300000,2024.593,2024.593,2024.593,2024.593
1451869200000,2024.593,2024.593,2024.593,2024.593
1451870100000,2024.593,2024.593,2024.593,2024.593
1451871000000,2024.593,2024.593,2024.593,2024.593
1451871900000,2024.593,2024.593,2024.593,2024.593
1451872800000,2024.593,2024.593,2024.593,2024.593
1451873700000,2024.593,2024.593,2024.593,2024.593
1451874600000,2024.593,2024.593,2024.593,2024.593
1451875500000,2024.593,2024.593,2024.593,2024.593
1451876400000,2024.593,2024.593,2024.593,2024.593
1451877300000,2024.593,2024.593,2024.593,2024.593
1451878200000,2024.593,2024.593,2024.593,2024.593
1451879100000,2024.593,2024.593,2024.593,2024.593
1451880000000,2024.593,2024.593,2024.593,2024.593
1451880900000,2024.593,2024.593,2024.593,2024.593
1451881800000,2024.593,2024.593,2024.593,2024.593
1451882700000,2024.593,2024.593,2024.593,2024.593
1451883600000,2024.593,2024.593,2024.593,2024.593
1451884500000,2024.593,2024.593,2024.593,2024.593
1451885400000,2024.593,2024.593,2024.593,2024.593
1451886300000,2024.593,2024.593,2024.593,2024.593
1451887200000,2024.593,2024.593,2024.593,2024.593
1451888100000,2024.593,2024.593,2024.593,2024.593
1451889000000,2024.593,2024.593,2024.593,2024.593
1451889900000,2024.593,2024.593,2024.593,2024.593
1451890800000,2024.328,2025.7,2020.13,2020.591
1451891700000,2020.598,2022.699,2020.231,2022.498
1451892600000,2022.495,2022.497,2017.536,2018.995
1451893500000,2018.87,2020.599,2016.645,2020.093
1451894400000,2020.048,2022.398,2011.268,2013.161
1451895300000,2013.225,2013.225,2009.088,2011.837
1451896200000,2011.846,2015.245,2009.282,2014.931
1451897100000,2014.916,2015.331,2011.286,2014.217
1451898000000,2014.241,2014.419,2011.086,2013.085
1451898900000,2013.068,2017.689,2013.067,2017.195
1451899800000,2017.199,2017.812,2015.2,2015.991
1451900700000,2015.936,2016.341,2011.458,2012.337
1451901600000,2012.438,2015.017,2012.021,2014.528
1451902500000,2014.503,2014.84,2013.043,2013.154
1451903400000,2013.159,2014.126,2011.24,2014.126
1451904300000,2014.091,2015.043,2012.469,2014.643
1451905200000,2014.68,2015.118,2012.985,2013.365
1451906100000,2013.349,2014.099,2009.205,2009.428
1451907000000,2009.445,2010.398,2005.722,2007.097
1451907900000,2006.941,2010.266,2006.153,2006.163
1451908800000,2006.182,2007.926,2005.91,2007.734
1451909700000,2007.729,2007.729,2002.911,2004.738
1451910600000,2004.734,2009.658,2004.227,2009.217
1451911500000,2009.202,2009.225,2007.06,2008.235
1451912400000,2008.24,2011.256,2008.191,2010.192
1451913300000,2010.47,2010.993,2009.258,2010.748
1451914200000,2010.742,2011.251,2008.593,2009.333
1451915100000,2009.371,2009.743,2005.569,2006.528
1451916000000,2006.514,2007.572,2004.612,2006.887
1451916900000,2006.912,2008.675,2005.901,2007.822
1451917800000,2007.948,2008.187,1999.671,2000.701
1451918700000,2000.577,2007.879,1998.949,2005.203
1451919600000,2005.266,2005.318,1997.067,2002.826
1451920500000,2002.852,2006.022,2001.093,2001.618
1451921400000,2001.607,2001.607,1995.923,2000.446
1451922300000,2000.423,2001.646,1994.244,1994.491
1451923200000,1994.519,1994.519,1988.929,1992.269
1451924100000,1992.304,1994.68,1990.442,1994.427
1451925000000,1994.429,1998.795,1993.409,1996.414
1451925900000,1996.392,1998.471,1995.094,1996.717
1451926800000,1996.884,1997.797,1994.344,1995.018
1451927700000,1994.972,1998.238,1994.59,1996.733
1451928600000,1996.715,2000.634,1994.383,2000.135
1451929500000,2000.217,2002.805,1999.356,2000.965
1451930400000,2000.959,2005.066,1999.858,2003.707
1451931300000,2003.742,2005.82,2000.417,2002.17
1451932200000,2002.209,2004.166,2001.15,2002.747
1451933100000,2002.7,2004.667,2001.311,2002.142
1451934000000,2002.123,2002.123,1997.927,1999.927
1451934900000,2000.11,2004.431,1998.382,2002.196
1451935800000,2002.228,2002.817,1996.594,1998.885
1451936700000,1998.863,2000.017,1995.973,1998.955
1451937600000,1998.888,1999.091,1993.151,1995.089
1451938500000,1995.046,1995.933,1992.723,1994.927
1451939400000,1994.926,2003.648,1994.926,2003.276
1451940300000,2003.272,2013.259,2003.2,2013.125
1451941200000,2013.017,2013.017,2013.017,2013.017
1451952000000,2021.072,2021.072,2021.072,2021.072
1451952900000,2021.072,2021.072,2021.072,2021.072
1451953800000,2021.072,2021.072,2021.072,2021.072
1451954700000,2021.072,2021.072,2021.072,2021.072
1451955600000,2021.072,2021.072,2021.072,2021.072
1451956500000,2021.072,2021.072,2021.072,2021.072
1451957400000,2021.072,2021.072,2021.072,2021.072
1451958300000,2021.072,2021.072,2021.072,2021.072
1451959200000,2021.072,2021.072,2021.072,2021.072
1451960100000,2021.072,2021.072,2021.072,2021.072
1451961000000,2021.072,2021.072,2021.072,2021.072
1451961900000,2021.072,2021.072,2021.072,2021.072
1451962800000,2021.072,2021.072,2021.072,2021.072
1451963700000,2021.072,2021.072,2021.072,2021.072
1451964600000,2021.072,2021.072,2021.072,2021.072
1451965500000,2021.072,2021.072,2021.072,2021.072
1451966400000,2021.072,2021.072,2021.072,2021.072
1451967300000,2021.072,2021.072,2021.072,2021.072
1451968200000,2021.072,2021.072,2021.072,2021.072
1451969100000,2021.072,2021.072,2021.072,2021.072
1451970000000,2021.072,2021.072,2021.072,2021.072
1451970900000,2021.072,2021.072,2021.072,2021.072
1451971800000,2021.072,2021.072,2021.072,2021.072
1451972700000,2021.072,2021.072,2021.072,2021.072
1451973600000,2021.072,2021.072,2021.072,2021.072
1451974500000,2021.072,2021.072,2021.072,2021.072
1451975400000,2021.072,2021.072,2021.072,2021.072
1451976300000,2021.072,2021.072,2021.072,2021.072
1451977200000,2021.164,2021.399,2019.059,2019.353
1451978100000,2019.378,2021.399,2018.85,2021.064
1451979000000,2021.098,2021.838,2018.85,2020.079
1451979900000,2019.975,2020.894,2018.848,2020.099
1451980800000,2020.395,2021.498,2016.35,2017.598
1451981700000,2017.89,2018.4,2014.347,2014.554
1451982600000,2014.591,2014.591,2012.456,2013.994
1451983500000,2013.98,2014.099,2012.352,2013.664
1451984400000,2013.674,2013.895,2008.144,2009.885
1451985300000,2009.883,2009.9,2005.973,2006.352
1451986200000,2006.356,2009.589,2006.056,2007.89
1451987100000,2007.894,2009.596,2006.463,2006.496
1451988000000,2006.332,2006.497,2001.373,2002.06
1451988900000,2002.089,2003.902,2001.051,2003.096
1451989800000,2003.088,2005.198,2002.306,2004.205
1451990700000,2004.34,2004.996,2002.069,2002.242
1451991600000,2002.257,2005.4,2001.928,2004.087
1451992500000,2004.098,2005.9,2002.464,2003.275
1451993400000,2003.26,2005.699,2003.241,2004.597
1451994300000,2004.588,2005.997,2002.717,2005.74
1451995200000,2005.759,2006.398,2003.531,2004.396
1451996100000,2004.399,2005.7,2002.84,2005.013
1451997000000,2005.191,2005.2,2002.418,2005.198
1451997900000,2005.2,2007.899,2004.246,2007.772
1451998800000,2007.779,2012.4,2007.162,2011.47
1451999700000,2011.699,2015.2,2011.03,2013.193
1452000600000,2013.006,2014.599,2012.258,2013.851
1452001500000,2013.859,2017.997,2013.272,2016.395
1452002400000,2016.388,2016.399,2013.288,2015.092
1452003300000,2015.098,2017.997,2014.186,2017.155
1452004200000,2017.328,2021.4,2015.342,2019.848
1452005100000,2019.835,2020.698,2012.192,2012.596
1452006000000,2012.582,2013.699,2009.864,2012.588
1452006900000,2012.591,2013.4,2008.038,2008.082
1452007800000,2008.094,2014.896,2007.043,2013.949
1452008700000,2013.948,2018.099,2012.737,2016.224
1452009600000,2016.203,2017.881,2010.38,2010.899
1452010500000,2010.878,2012.889,2009.272,2010.689
1452011400000,2010.696,2015.099,2010.179,2011.297
1452012300000,2011.302,2014.098,2010.04,2011.977
1452013200000,2011.98,2012.107,2005.308,2005.962
1452014100000,2005.955,2007.596,2003.693,2007.111
1452015000000,2007.108,2008.877,2004.79,2005.629
1452015900000,2005.604,2009.083,2005.091,2009.083
1452016800000,2009.098,2011.896,2008.161,2009.226
1452017700000,2009.222,2010.198,2006.308,2009.093
1452018600000,2009.091,2015.332,2008.309,2015.293
1452019500000,2015.398,2018.094,2014.839,2016.087
1452020400000,2016.091,2017.899,2013.59,2016.401
1452021300000,2016.37,2022.097,2015.756,2020.148
1452022200000,2020.154,2020.714,2016.011,2016.857
1452023100000,2016.857,2018.785,2015.011,2016.192
1452024000000,2016.251,2016.762,2012.262,2016.123
