Date,s1,s2
2004-11-19,0.0,0.0023449432683466747
2004-11-22,0.0,0.0019437635513897674
2004-11-23,0.0,0.000669050898073632
2004-11-24,0.0,0.004905107181493991
2004-11-26,0.0,0.0008969848692275386
2004-11-29,0.0,-0.0016511212922571145
2004-11-30,0.0,0.0011592047582620845
2004-12-01,0.0,0.007611502629341045
2004-12-02,0.0,-0.0035376916449613416
2004-12-03,0.0,0.007756221313429501
2004-12-06,0.0,-0.0041494358446716945
2004-12-07,0.0,-0.0016182669809457373
2004-12-08,0.0,-0.005497453601284057
2004-12-09,0.0,-0.0023192535521026647
2004-12-10,0.0,-0.0036129188121216496
2004-12-13,0.0,0.006232209271938704
2004-12-14,-0.0021659042570774,-0.0007714131952856885
2004-12-15,0.0,0.0050386100206502495
2004-12-16,0.0,-0.0051590588314168765
2004-12-17,0.0,0.00268247595003608
2004-12-20,0.0,0.001188256968070586
2004-12-21,0.0,-0.00010378507295777529
2004-12-22,0.0,-0.0008664871761542211
2004-12-23,0.0,0.004102749661228794
2004-12-27,0.0,0.003263552740493903
2004-12-28,0.0,-0.0001094000599038119
2004-12-29,0.0,-0.0037208838505824204
2004-12-30,0.0,0.0025997140069638314
2004-12-31,0.0,-0.0009712177075935896
2005-01-03,0.0,-0.006888873595827269
2005-01-04,0.0,-0.010958539757117377
2005-01-05,0.0,-0.0010695453980240578
2005-01-06,0.0,-0.00478508654682036
2005-01-07,0.0,-0.002588584376311861
2005-01-10,0.0,0.003199088282026511
2005-01-11,0.0,0.0005392163150044101
2005-01-12,0.0,0.006783914010704588
2005-01-13,0.0,-0.0038684127640240605
2005-01-14,0.0,-0.0006455470208584137
2005-01-18,0.0,0.0024285492303883507
2005-01-19,0.0,-0.003891213866470537
2005-01-20,0.0,-0.0040202887310494964
2005-01-21,0.0,0.002092128562814905
2005-01-24,0.0,-0.0008865974661942103
2005-01-25,0.0,-0.00514665434215513
2005-01-26,0.0,0.007375696861532222
2005-01-27,0.0,0.0005919731426922654
2005-01-28,0.0,-0.0002012180375703637
2005-01-31,0.0,-0.0010114694527915604
2005-02-01,0.0,0.0005705552129940854
2005-02-02,0.0020424244263037,0.0008120597322866611
2005-02-03,0.0,-0.005266904229768763
2005-02-04,0.0,0.0008976038198755502
2005-02-07,0.0,-0.004868136968821821
2005-02-08,0.0,-0.0013850097354409462
2005-02-09,0.0,-0.0013526590975008218
2005-02-10,0.0,0.003350927368404965
2005-02-11,0.0,0.003833873590195216
2005-02-14,0.0,0.005894614658444393
2005-02-15,0.0,0.003435916557853809
2005-02-16,0.0,-0.002846773176791474
2005-02-17,0.0,-0.00020903366192646903
2005-02-18,0.0,-0.0003986686482792508
2005-02-22,0.0,0.004807515505000337
2005-02-23,0.0,-0.0016927790255504848
2005-02-24,0.0,0.0010857953977373128
2005-02-25,0.0,0.004824736845297759
2005-02-28,0.0,-0.0011940360731965262
2005-03-01,0.0,0.00033388150947411286
2005-03-02,0.0,-0.0015498987547585402
2005-03-03,0.0,-0.0034471537705059903
2005-03-04,0.0,0.007919304332506741
2005-03-07,0.0,0.00012665446245896817
2005-03-08,0.0,0.0040621701022248305
2005-03-09,0.0,-0.0012906268280154832
2005-03-10,0.0,0.0017630574352881193
2005-03-11,0.0,-0.0007879082811618655
2005-03-14,0.0,-0.0038168414524407377
2005-03-15,0.0,-0.0020114066208008255
2005-03-16,0.0,0.001629648810743507
2005-03-17,0.0,-0.0021359185293907974
2005-03-18,0.0,-0.001982952582147025
2005-03-21,0.0,-0.008273634716506315
2005-03-22,-0.0005555318802159,-0.00680039467877291
2005-03-23,0.0,-0.003312431456182473
2005-03-24,0.0,-0.001722579177507101
2005-03-28,0.0,-0.0018578330223957514
2005-03-29,0.0,-0.0003536112753587224
2005-03-30,0.0,0.003632690366013247
2005-03-31,0.0,0.0024630755102644083
2005-04-01,0.0,-0.0027850377777239657
2005-04-04,0.0,-0.0002536033515622457
2005-04-05,0.0,0.0016270473082164994
2005-04-06,0.0,0.0017244093967554851
2005-04-07,0.0,0.0005804756595813844
2005-04-08,0.0,-1.1794119766638024e-05
2005-04-11,0.0,0.00012132533365404009
2005-04-12,0.0,0.0009412680652841838
2005-04-13,0.0,-0.0038187713447164137
2005-04-14,0.0,-0.006715712753254682
2005-04-15,0.0,-0.0027424537600679913
2005-04-18,0.0,0.0040878250393123474
2005-04-19,0.0,0.004759753392360683
2005-04-20,0.0,-0.002217668321890355
2005-04-21,0.0,0.0034021310708901562
2005-04-22,0.0,-0.0021534321795257006
2005-04-25,0.0,0.0004404051796315601
2005-04-26,0.0,-0.0018061506205414536
2005-04-27,0.0,-0.002038733683785409
2005-04-28,0.0,-0.003167864339592298
2005-04-29,0.0,0.0012513894684422992
2005-05-02,0.0,-0.0030337825359010515
2005-05-03,-0.002046760300409,0.0012879183184151873
2005-05-04,0.0,0.005288530284004704
2005-05-05,0.0,0.00021223755196199588
2005-05-06,0.0,-0.005657318791939478
2005-05-09,0.0,0.0002278740808829469
2005-05-10,0.0,-0.0009731833626895379
2005-05-11,0.0,-0.0013941222546617746
2005-05-12,0.0,-0.008565562801278778
2005-05-13,0.0,-0.0031877615095526417
2005-05-16,0.0,0.0018673341806844594
2005-05-17,0.0,-0.0005827690574863065
2005-05-18,0.0,0.00606178526575117
2005-05-19,0.0,-0.0009235792319454481
2005-05-20,0.0,-0.0037262251446819245
2005-05-23,0.0,0.0021971955934289265
2005-05-24,0.0,0.00032978264153041915
2005-05-25,0.0,0.0007247318370179528
2005-05-26,0.0,-0.0018537488352332735
2005-05-27,0.0,0.0024959517567243713
2005-05-31,0.0,-0.0060679052229162785
2005-06-01,0.0,0.0004745788265537243
2005-06-02,0.0,0.004179836432574051
2005-06-03,0.0,-0.001515243912391942
2005-06-06,0.0,0.0017599595337633785
2005-06-07,0.0,-0.0013897815467212905
2005-06-08,0.0,-0.0013468910897069478
2005-06-09,0.0,0.0009366143294916998
2005-06-10,0.0,-0.002966320772740635
2005-06-13,0.0,0.00028038871554668995
2005-06-14,0.0,-0.0017293706779927713
2005-06-15,0.0,0.0010272489414315802
2005-06-16,0.0,0.0033420513414680313
