fecha,r
2003-08-31,0.003367690651996024
2003-09-30,0.02860424533459152
2003-10-31,0.009447200867628163
2003-11-30,0.004879420275094541
2003-12-31,0.026193734580795592
2004-01-31,0.01234305882746875
2004-02-29,0.0024373801993818034
2004-03-31,0.01156340595196223
2004-04-30,-0.03857149844986301
2004-05-31,0.007917681909883924
2004-06-30,0.006726756318990438
2004-07-31,-0.018650757364506425
2004-08-31,0.015460446000337103
2004-09-30,0.011034408529228686
2004-10-31,0.02119529608685863
2004-11-30,0.01965370574415583
2004-12-31,0.021214113649537205
2005-01-31,-0.009570501903718963
2005-02-28,0.008460698446497626
2005-03-31,-0.017645180123307087
2005-04-30,-0.009416857692955641
2005-05-31,0.0010326808836992013
2005-06-30,0.0019691862982932702
2005-07-31,0.0020725936992207
2005-08-31,0.007384896657973233
2005-09-30,0.00017339981021879716
2005-10-31,-0.012835508088930312
2005-11-30,0.023324549956030925
2005-12-31,0.014667502274662732
2006-01-31,0.014733944620664125
2006-02-28,-0.0012511610452004243
2006-03-31,0.003380902615025989
2006-04-30,-0.004107086363986402
2006-05-31,-0.023529365192060066
2006-06-30,-0.0036793771485432447
2006-07-31,-0.0047109835393767795
2006-08-31,-0.0017437920636026339
2006-09-30,-0.004621234316841511
2006-10-31,0.01600644349988905
2006-11-30,0.024881031180161318
2006-12-31,-0.007854817649715708
2007-01-31,0.0031195501683707974
2007-02-28,0.006245089584663967
2007-03-31,0.00188716293871116
2007-04-30,0.022947508444908754
2007-05-31,-0.00010347325190588133
2007-06-30,0.0014834849561990821
2007-07-31,0.005513932282678646
2007-08-31,-8.095291438137142e-05
2007-09-30,0.030425518877266872
2007-10-31,0.028073001600464026
2007-11-30,-0.0007039552592635045
2007-12-31,-0.007186380549309719
2008-01-31,0.009897980264076634
2008-02-29,0.015181824201806872
2008-03-31,-0.0012380308996164746
2008-04-30,-0.0064614920997362844
2008-05-31,-0.0015796925301271765
2008-06-30,0.008080164306363078
2008-07-31,-0.001445150131557455
2008-08-31,-0.004611811539700558
2008-09-30,0.01413921620339264
2008-10-31,0.042411956905062394
2008-11-30,0.02249300628456322
2008-12-31,0.006909126722602164
2009-01-31,0.0010494400128056415
2009-02-28,0.0026701895693709127
2009-03-31,-0.0058372109901268536
2009-04-30,-0.014734804879017198
2009-05-31,-0.019077594074977926
2009-06-30,-0.0004943002218537538
2009-07-31,-0.007593127623905169
2009-08-31,0.00012158844802482168
2009-09-30,0.0017822799601283086
2009-10-31,-0.002135239903605362
2009-11-30,0.018667815158566095
2009-12-31,-0.012980035512282176
2010-01-31,-0.016545180439467257
2010-02-28,-5.4781666951487076e-05
2010-03-31,0.006990212434031396
2010-04-30,0.0012204456056291036
2010-05-31,-0.02604100115997192
2010-06-30,0.0018092009514030793
2010-07-31,0.0071191643847474785
2010-08-31,0.011655364536249165
2010-09-30,0.012254970841657201
2010-10-31,0.01110624296062729
2010-11-30,0.0016209454967806008
2010-12-31,0.013952652685081756
2011-01-31,-0.011473279646857985
2011-02-28,0.013736728689985253
2011-03-31,0.006210914623429284
2011-04-30,0.03268801491939672
2011-05-31,-0.007892081234645238
2011-06-30,-0.009639490986388532
2011-07-31,0.013908231635291519
2011-08-31,0.003594857241419444
2011-09-30,-0.0310436001087039
2011-10-31,0.004394057096949488
2011-11-30,-0.012143064120535613
2011-12-31,-0.003955361154512356
2012-01-31,-0.0014959728892842662
2012-02-29,-0.00845665698851712
2012-03-31,-0.005223393507444757
2012-04-30,0.0065829436507130225
2012-05-31,0.022837207947255415
2012-06-30,-0.0063894386990871535
